DATABASE PRESTAZIONI AUTO AUTOMOBILISTICHE;;;;;;;;;
Inclusi brand High-Tech e Hypercar cinesi: Xiaomi, BYD, Yangwang | Totale modelli: 312;;;;;;;;;
;;;;;;;;;
Marca;Modello;Versione;Categoria;Potenza (CV);0-100 km/h (s);Vel. Max (km/h);Ripresa 80-120 (s);1/4 Miglio (s);Nürburgring (s)
BMW;X1;sDrive18i 136 CV;SUV;136;9,2;208;6,4;14,6;-
BMW;X3;M50 xDrive 398 CV;SUV Sportivo;398;4,6;250;2,8;10;-
BMW;X3;20d xDrive 190 CV;SUV;190;7,9;213;5,4;13,3;-
BMW;X5;xDrive30d Mild Hybrid 298 CV;SUV;298;6,1;233;4;11,5;-
BMW;X5 M;Competition 625 CV;SUV Sportivo;625;3,9;290;2,4;9,3;-
BMW;iX1;xDrive30 Elettrica 313 CV;SUV Elettrico;313;5,6;180;3,5;11;-
BYD;Atto 3;Design 204 CV;SUV;204;7,3;160;5,2;13,2;-
BYD;Dolphin;Comfort 204 CV;Compatta;204;7;160;4,9;12,8;-
BYD;Han;Executive AWD 517 CV;Berlina Luxury;517;3,9;180;2,5;7,5;-
BYD;Seal;Excellence AWD 530 CV;Berlina Sportiva;530;3,8;180;2,4;7,3;-
BYD;Seal;Design RWD 313 CV;Berlina;313;5,9;180;3,9;11,5;-
BYD;Seal U;Design 218 CV EV;SUV;218;9,6;175;6,7;15;-
BYD;Seal U DM-i;Design AWD 324 CV Plug-in;SUV;324;5,9;180;4;11,5;-
BYD;Tang;Flagship AWD 517 CV;SUV 7 Posti;517;4,9;180;3,2;9,3;-
Bugatti;Centodieci;8.0 W16 Quad-Turbo 1600 CV Coachbuilt;Hypercar Limited;1.600;2,4;380;0,9;2,7;-
Bugatti;Chiron;8.0 W16 Quad-Turbo 1500 CV;Hypercar;1.500;2,4;420;1;2,9;-
Bugatti;Chiron Pur Sport;8.0 W16 Quad-Turbo 1500 CV Track;Hypercar Track;1.500;2,3;350;0,9;2,8;-
Bugatti;Chiron Super Sport;8.0 W16 1600 CV;Hypercar;1.600;2,2;440;0,7;7,6;-
Bugatti;Chiron Super Sport 300+;8.0 W16 Quad-Turbo 1600 CV;Hypercar;1.600;2,3;440;0,9;2,7;-
Bugatti;Divo;8.0 W16 Quad-Turbo 1500 CV Coachbuilt;Hypercar Limited;1.500;2,4;380;1;2,9;-
Bugatti;Tourbillon;8.3 V16 Hybrid 1800 CV;Hypercar;1.800;2;445;0,8;2,3;-
Bugatti;Veyron 16.4;8.0 W16 Quad-Turbo 1001 CV;Hypercar;1.001;2,5;407;1,3;3,8;-
Bugatti;Veyron Super Sport;8.0 W16 Quad-Turbo 1200 CV;Hypercar;1.200;2,5;431;1,1;3,4;-
Citroën;C3;1.2 Turbo 100 CV;Citycar;100;10,6;183;7,8;16;-
Citroën;C3;1.2 PureTech 83 CV;Citycar;83;13,3;169;10,5;18,7;-
Citroën;C3 Aircross;1.2 PureTech 110 CV;SUV;110;10,1;186;7,5;15,5;-
Citroën;C4;1.2 PureTech 130 CV;Crossover;130;8,9;200;6,4;14,3;-
Citroën;C5 Aircross;1.2 Mild Hybrid 136 CV;SUV;136;10,2;200;7,2;15,6;-
Citroën;ë-C3;Elettrica 113 CV;Citycar Elettrica;113;11;135;7,5;16,4;-
Cupra;Born;e-Boost Elettrica 231 CV;Hot Hatch Elettrica;231;6,6;160;3,9;12;-
Cupra;Born;Elettrica 204 CV;Hot Hatch Elettrica;204;7,3;160;4,4;12,7;-
Cupra;Formentor;2.0 TSI 245 CV;Crossover Sportivo;245;6,4;238;4;11,8;-
Cupra;Formentor;1.5 e-Hybrid Plug-in 204 CV;Crossover;204;7,8;205;5;13,2;-
Cupra;Formentor;1.5 TSI 150 CV;Crossover;150;8,9;204;6,1;14,3;-
Cupra;Formentor VZ;2.0 TSI 310 CV Q4;Crossover Sportivo;310;4,9;250;3,1;10,3;-
Cupra;Formentor VZ5;2.5 TSI 5 cilindri 390 CV;Crossover Sportivo;390;4,2;250;2,6;9,6;-
Cupra;Leon;1.5 eTSI Mild Hybrid 150 CV;Hot Hatch;150;8,7;214;5,9;14,1;-
Cupra;Leon VZ;2.0 TSI 300 CV;Hot Hatch;300;5,7;250;3,4;11,1;-
Cupra;Tavascan;Endurance Elettrica 286 CV;SUV Elettrico;286;6,8;180;4,1;12,2;-
Dacia;Duster;1.6 Hybrid 140 CV;SUV;140;10,1;160;7,2;15,5;-
Dacia;Duster;1.2 Mild Hybrid 130 CV;SUV;130;9,9;180;7,1;15,3;-
Dacia;Duster;1.0 ECO-G GPL 100 CV;SUV;100;13,2;168;9,5;18,6;-
Dacia;Jogger;1.6 Hybrid 140 CV;Crossover;140;9,8;167;7;15,2;-
Dacia;Jogger;1.0 ECO-G GPL 100 CV;Crossover;100;12,3;175;9;17,7;-
Dacia;Sandero Stepway;1.0 ECO-G GPL 100 CV;Crossover;100;11,9;177;8,4;17,3;-
Dacia;Sandero Streetway;1.0 TCe 90 CV;Citycar;90;11,7;178;8,5;17,1;-
Dacia;Sandero Streetway;1.0 SCe 65 CV;Citycar;65;16,7;158;12,5;22,1;-
Dacia;Spring;Electric 65 CV;Citycar Elettrica;65;13,7;125;9,2;19,1;-
Dacia;Spring;Electric 45 CV;Citycar Elettrica;45;13,7;125;10;19,1;-
Ferrari;12Cilindri;6.5 V12 830 CV;Supercar;830;2,9;340;1,5;4,5;-
Ferrari;296 GTB;3.0 V6 Plug-in 830 CV;Supercar;830;2,9;330;1,1;8,3;-
Ferrari;296 GTB;3.0 V6 Hybrid 830 CV;Supercar;830;2,9;330;1,5;4,5;-
Ferrari;812 Competizione;6.5 V12 830 CV;Supercar Track;830;2,85;340;1,5;4,5;-
Ferrari;812 Superfast;6.5 V12 800 CV;Supercar;800;2,9;340;1,6;4,7;-
Ferrari;F40;2.9 V8 Bi-Turbo 478 CV;Supercar Epoca;478;4,1;324;2,8;8,1;-
Ferrari;F8 Tributo;3.9 V8 Turbo 720 CV;Supercar;720;2,9;340;1,7;5,1;-
Ferrari;F80;3.0 V6 Hybrid 1200 CV;Hypercar;1.200;2,15;350;1;3;-
Ferrari;LaFerrari;6.3 V12 Hybrid 963 CV;Hypercar;963;2,6;350;1,3;3,9;-
Ferrari;Purosangue;6.5 V12 725 CV;SUV Supercar;725;3,3;310;2;6;-
Ferrari;Roma;3.9 V8 620 CV;GT;620;3,4;320;1,5;8,8;-
Ferrari;Roma;3.9 V8 Turbo 620 CV;GT;620;3,4;320;2;6;-
Ferrari;SF90 Stradale;4.0 V8 Plug-in 1000 CV;Supercar;1.000;2,5;340;1;7,9;-
Ferrari;SF90 Stradale;4.0 V8 Hybrid 1000 CV;Hypercar;1.000;2,5;340;1,2;3,6;-
Ferrari;SF90 XX Stradale;4.0 V8 Hybrid 1030 CV;Hypercar Track;1.030;2,3;320;1,1;3,3;-
Fiat;500;1.0 Hybrid 70 CV;Citycar;70;13,8;167;11;19,2;-
Fiat;500X;1.5 Mild Hybrid 130 CV;SUV;130;9,4;194;7;14,8;-
Fiat;500e;Elettrica 118 CV;Citycar Elettrica;118;9;150;6;14,4;-
Fiat;500e;Elettrica 95 CV;Citycar Elettrica;95;9,5;135;6,5;14,9;-
Fiat;600;1.2 Mild Hybrid 136 CV;SUV;136;8,5;200;6,2;13,9;-
Fiat;600;1.2 Mild Hybrid 100 CV;SUV;100;10,9;184;8,2;16,3;-
Fiat;600e;Elettrica 156 CV;SUV Elettrico;156;9;150;5,8;14,4;-
Fiat;Grande Panda;Elettrica 113 CV;Crossover Elettrico;113;11;132;7,5;16,4;-
Fiat;Grande Panda;1.2 Hybrid 100 CV;Crossover;100;10,5;180;8;15,9;-
Fiat;Panda;1.0 Hybrid 70 CV;Citycar;70;13,9;164;11,2;19,3;-
Fiat;Pandina;1.0 Hybrid 70 CV;Citycar;70;13,9;164;11,2;19,3;-
Fiat;Tipo;1.5 Mild Hybrid 130 CV;Berlina;130;8,8;207;6,5;14,2;-
Fiat;Tipo;1.6 Multijet Diesel 130 CV;Berlina;130;9,8;208;6,8;15,2;-
Ford;Fiesta;1.0 EcoBoost Mild Hybrid 125 CV;Citycar;125;9,4;200;6,8;14,8;-
Ford;Focus;1.0 EcoBoost Mild Hybrid 125 CV;Berlina;125;10,2;200;7,4;15,6;-
Ford;Focus ST;2.3 EcoBoost 280 CV;Hot Hatch;280;5,7;250;3,8;11,1;-
Ford;Kuga;2.5 Plug-in Hybrid 243 CV;SUV;243;7,3;200;4,9;12,7;-
Ford;Kuga;2.5 Full Hybrid 180 CV;SUV;180;9,1;196;6,5;14,5;-
Ford;Kuga;1.5 EcoBoost 150 CV;SUV;150;9,5;195;6,8;14,9;-
Ford;Mustang;Dark Horse 5.0 V8 453 CV;Muscle Car;453;4,4;263;2,6;9,8;-
Ford;Mustang;GT 5.0 V8 446 CV;Muscle Car;446;4,9;250;2,9;10,3;-
Ford;Mustang Mach-E;GT AWD 487 CV;SUV Elettrico;487;3,7;200;1,9;9,1;-
Ford;Mustang Mach-E;Standard Range 269 CV;SUV Elettrico;269;6,9;180;4,2;12,3;-
Ford;Puma;1.0 EcoBoost Mild Hybrid 155 CV;SUV;155;8,9;206;6,3;14,3;-
Ford;Puma;1.0 EcoBoost Mild Hybrid 125 CV;SUV;125;9,8;191;7;15,2;-
Ford;Puma ST;1.5 EcoBoost 200 CV;SUV Sportivo;200;6,7;220;4,6;12,1;-
Ford;Puma ST;1.0 EcoBoost Mild Hybrid 170 CV;SUV Sportivo;170;7,4;210;5;12,8;-
Hyundai;Ioniq 5;Standard Range 170 CV;Berlina Elettrica;170;8,5;185;5,2;13,9;-
Hyundai;Ioniq 5 N;Quad Motor 650 CV;SUV Elettrico Sportivo;650;3,4;260;1,9;8,8;-
Hyundai;Tucson;1.6 Full Hybrid 215 CV;SUV;215;8,2;186;5,6;13,6;-
Hyundai;Tucson;1.6 Mild Hybrid 160 CV;SUV;160;9,4;192;6,7;14,8;-
Hyundai;i10;1.0 MPI 67 CV;Citycar;67;14,6;156;11,5;20;-
Hyundai;i20;1.0 T-GDi Mild Hybrid 100 CV;Citycar;100;10,4;185;7,5;15,8;-
Hyundai;i20 N;1.6 T-GDi 204 CV;Hot Hatch;204;6,2;230;4,2;11,6;-
Jeep;Avenger;Elettrica 156 CV;SUV Elettrico;156;9;150;5,8;14,4;-
Jeep;Avenger;1.2 Turbo 100 CV;SUV;100;10,6;184;7,8;16;-
Jeep;Avenger;1.2 e-Hybrid 100 CV;SUV;100;10,9;184;8;16,3;-
Jeep;Avenger 4xe;1.2 e-Hybrid 136 CV Q4;SUV;136;9,5;194;6,8;14,9;-
Jeep;Compass;1.5 e-Hybrid 130 CV;SUV;130;10;193;7,3;15,4;-
Jeep;Compass 4xe;1.3 Plug-in Hybrid 240 CV;SUV;240;7,3;200;4,8;12,7;-
Jeep;Renegade;1.5 e-Hybrid 130 CV;SUV;130;9,7;191;7;15,1;-
Jeep;Renegade 4xe;1.3 Plug-in Hybrid 190 CV;SUV;190;7,5;182;5,1;12,9;-
Jeep;Wrangler 4xe;2.0 Plug-in Hybrid 380 CV;Fuoristrada;380;6,4;177;4,1;11,8;-
Kia;EV6;Long Range RWD 229 CV;SUV Elettrico;229;7,3;185;4,5;12,7;-
Kia;EV6 GT;AWD 585 CV;SUV Elettrico Sportivo;585;3,5;260;2;8,9;-
Kia;Picanto;1.0 MPI 63 CV;Citycar;63;15,6;145;12;21;-
Kia;Sportage;1.6 Full Hybrid 230 CV;SUV;230;8;193;5,4;13,4;-
Kia;Sportage;1.6 Mild Hybrid 160 CV;SUV;160;9,4;192;6,7;14,8;-
Kia;Stonic;1.0 T-GDi Mild Hybrid 100 CV;SUV;100;10,7;183;7,8;16,1;-
Koenigsegg;Agera R;5.0 V8 Twin-Turbo 1140 CV;Hypercar;1.140;2,8;440;1,1;3,4;-
Koenigsegg;Agera RS;5.0 V8 Twin-Turbo 1160 CV;Hypercar;1.160;2,8;447;1,1;3,3;-
Koenigsegg;CC850;5.0 V8 Twin-Turbo Manuale 1385 CV;Hypercar Limited;1.385;2,7;400;0,9;2,8;-
Koenigsegg;Gemera;5.0 V8 HV8 Hybrid 2300 CV;Hyper GT 4 Posti;2.300;1,9;400;0,7;2;-
Koenigsegg;Jesko;5.0 V8 Twin-Turbo 1600 CV Track;Hypercar Track;1.600;2,5;480;0,8;2,5;-
Koenigsegg;Jesko Absolut;5.0 V8 Twin-Turbo 1600 CV Speed;Hypercar Speed;1.600;2,5;500;0,8;2,4;-
Koenigsegg;One:1;5.0 V8 Twin-Turbo 1360 CV Megacar;Hypercar Limited;1.360;2,8;440;0,9;2,8;-
Koenigsegg;Regera;5.0 V8 Hybrid Direct Drive 1500 CV;Hypercar GT;1.500;2,8;404;0,9;2,7;-
Lamborghini;Aventador S;6.5 V12 740 CV;Supercar;740;2,9;350;1,6;4,9;-
Lamborghini;Aventador SVJ;6.5 V12 770 CV ALA;Supercar Track;770;2,8;352;1,5;4,6;404,97
Lamborghini;Countach LPI 800-4;6.5 V12 Mild-Hybrid 814 CV;Hypercar Limited;814;2,8;355;1,4;4,3;-
Lamborghini;Huracán EVO;5.2 V10 640 CV;Supercar;640;2,9;325;1,8;5,5;-
Lamborghini;Huracán Performante;5.2 V10 640 CV ALA;Supercar Track;640;2,9;325;1,8;5,5;412,01
Lamborghini;Huracán STO;5.2 V10 640 CV;Supercar;640;3;310;1,3;8,4;-
Lamborghini;Huracán STO;5.2 V10 640 CV RWD;Supercar Track;640;3;310;1,9;5,8;-
Lamborghini;Huracán Sterrato;5.2 V10 610 CV All-Terrain;Supercar Offroad;610;3,4;260;2,1;6,3;-
Lamborghini;Revuelto;6.5 V12 Hybrid 1015 CV;Hypercar;1.015;2,5;350;1,2;3,5;-
Lamborghini;Sian FKP 37;6.5 V12 Mild-Hybrid 819 CV;Hypercar Limited;819;2,8;355;1,4;4,3;-
Lamborghini;Temerario;4.0 V8 Hybrid 920 CV;Supercar;920;2,7;343;1;8,1;-
Lamborghini;Temerario;4.0 V8 Twin-Turbo Hybrid 920 CV;Supercar;920;2,7;343;1,3;3,9;-
Lamborghini;Urus Performante;4.0 V8 Twin-Turbo 666 CV;SUV Supercar;666;3,3;306;2;6;-
Lamborghini;Urus S;4.0 V8 Twin-Turbo 666 CV;SUV Supercar;666;3,5;305;2,1;6,3;-
Lamborghini;Urus SE;4.0 V8 Plug-in 800 CV;SUV Supercar;800;3,4;312;1,6;8,8;-
Lamborghini;Urus SE;4.0 V8 Hybrid 800 CV;SUV Supercar;800;3,4;312;1,8;5,4;-
Lancia;Ypsilon;1.0 Hybrid 70 CV;Citycar;70;14,2;163;11,5;19,6;-
Lancia;Ypsilon 2024;Elettrica 156 CV;Citycar Elettrica;156;8,2;150;5,3;13,6;-
Lancia;Ypsilon 2024;1.2 Mild Hybrid 100 CV;Citycar;100;9,3;190;7;14,7;-
Lancia;Ypsilon HF;Elettrica 240 CV;Hot Hatch Elettrica;240;5,8;200;3,5;11,2;-
MG;HS;1.5 T-GDi 162 CV;SUV;162;9,9;190;6,9;15,3;-
MG;MG3;1.5 Hybrid+ 195 CV;Citycar;195;8;170;5,2;13,4;-
MG;MG4;XPOWER AWD Elettrica 435 CV;Hot Hatch Elettrica;435;3,8;200;2,2;9,2;-
MG;MG4;Standard Elettrica 170 CV;Berlina Elettrica;170;7,7;160;4,9;13,1;-
MG;ZS;1.5 VTi 106 CV;SUV;106;10,9;175;8,2;16,3;-
MG;ZS EV;Elettrica Long Range 156 CV;SUV Elettrico;156;8,6;175;5,7;14;-
McLaren;720S;4.0 V8 Twin-Turbo 720 CV;Supercar;720;2,9;341;1,6;4,8;-
McLaren;750S;4.0 V8 Twin-Turbo 750 CV;Supercar;750;2,8;332;1,5;4,5;-
McLaren;765LT;4.0 V8 Twin-Turbo 765 CV;Supercar Track;765;2,8;330;1,4;4,2;-
McLaren;Artura;3.0 V6 Hybrid 680 CV;Supercar;680;3;330;1,7;5,2;-
McLaren;GT;4.0 V8 Twin-Turbo 620 CV;GT;620;3,2;326;2;6;-
McLaren;GTS;4.0 V8 Twin-Turbo 635 CV;GT;635;3,1;326;1,9;5,8;-
McLaren;P1;3.8 V8 Hybrid 916 CV;Hypercar;916;2,8;350;1,4;4,1;-
McLaren;Senna;4.0 V8 Twin-Turbo 800 CV;Hypercar Track;800;2,8;335;1,4;4,2;-
McLaren;Speedtail;4.0 V8 Hybrid 1070 CV;Hypercar GT;1.070;3;403;1,2;3,5;-
McLaren;W1;4.0 V8 Hybrid 1275 CV;Hypercar;1.275;2,7;350;1;2,9;-
Mercedes-AMG;A 35 4MATIC;2.0 306 CV;Hot Hatch;306;4,7;250;3;10,1;-
Mercedes-AMG;A 45 S 4MATIC+;2.0 421 CV;Hot Hatch;421;3,9;270;2,4;9,3;-
Mercedes-AMG;C 63 S E-Performance;2.0 Hybrid 680 CV;Berlina Sportiva;680;3,4;280;1,7;8,8;-
Mercedes-AMG;G 63;4.0 V8 BiTurbo 585 CV;SUV;585;4,5;220;3;9,9;-
Mercedes-AMG;GT 63 S E-Performance;4.0 V8 Hybrid 843 CV;Coupe Sportiva;843;2,9;316;1,2;8,3;-
Mercedes-Benz;Classe A;A 200 163 CV;Berlina;163;8,2;225;5,6;13,6;-
Mercedes-Benz;Classe A;A 180 d 116 CV;Berlina;116;9,5;202;7;14,9;-
Mercedes-Benz;Classe C;C 220 d 200 CV;Berlina;200;7,3;245;4,8;12,7;-
Mercedes-Benz;GLA;GLA 200 163 CV;SUV;163;8,9;210;6,2;14,3;-
Mercedes-Benz;GLA;GLA 180 d 116 CV;SUV;116;10,8;190;8;16,2;-
Mercedes-Benz;GLC;GLC 220 d 197 CV;SUV;197;8;219;5,5;13,4;-
Nissan;Juke;1.6 Full Hybrid 143 CV;SUV;143;10,1;166;7,1;15,5;-
Nissan;Juke;1.0 DIG-T 114 CV;SUV;114;10,7;180;7,9;16,1;-
Nissan;Qashqai;e-POWER Full Hybrid 190 CV;SUV;190;7,9;170;5,1;13,3;-
Nissan;Qashqai;1.3 Mild Hybrid 158 CV;SUV;158;9,2;199;6,5;14,6;-
Nissan;Qashqai;1.3 Mild Hybrid 140 CV;SUV;140;10,2;196;7,3;15,6;-
Nissan;X-Trail;e-POWER e-4ORCE 213 CV;SUV;213;7;180;4,6;12,4;-
Peugeot;2008;1.2 Hybrid 136 CV;SUV;136;8,3;206;6;13,7;-
Peugeot;208;1.2 Hybrid 136 CV;Citycar;136;8,1;210;5,8;13,5;-
Peugeot;208;1.2 PureTech 100 CV;Citycar;100;9,9;188;7,2;15,3;-
Peugeot;208;1.2 Hybrid 100 CV;Citycar;100;9,8;193;7,1;15,2;-
Peugeot;208;1.2 PureTech 75 CV;Citycar;75;13,2;164;10,5;18,6;-
Peugeot;3008;1.2 Mild Hybrid 136 CV;SUV;136;10,2;201;7,2;15,6;-
Peugeot;308;1.2 Hybrid 136 CV;Berlina;136;9;210;6,4;14,4;-
Peugeot;e-2008;Elettrica 156 CV;SUV Elettrico;156;9,1;150;5,8;14,5;-
Peugeot;e-208;Elettrica 156 CV;Citycar Elettrica;156;8,2;150;5,3;13,6;-
Peugeot;e-3008;Elettrica 210 CV;SUV Elettrico;210;8,8;170;5,3;14,2;-
Porsche;911 Carrera (992);3.0 Boxer 394 CV;Sportiva;394;4,1;294;2,1;9,5;-
Porsche;911 GT3 RS (992);4.0 Boxer 525 CV;Supercar;525;3,2;296;1,5;8,6;-
Porsche;911 Turbo S (992);3.8 Boxer 650 CV;Supercar;650;2,7;330;1,1;8,1;-
Porsche;Taycan;4S 544 CV;Berlina Elettrica;544;3,7;250;1,7;9,1;-
Porsche;Taycan Turbo GT;Elettrica 1108 CV;Berlina Elettrica;1.108;2,2;290;0,8;7,6;-
Renault;Austral;1.2 E-Tech Full Hybrid 200 CV;SUV;200;8,4;175;5,5;13,8;-
Renault;Austral;1.2 Mild Hybrid 130 CV;SUV;130;10,7;175;7,8;16,1;-
Renault;Captur;1.6 E-Tech Full Hybrid 145 CV;SUV;145;10,6;170;7,3;16;-
Renault;Captur;1.0 TCe GPL 100 CV;SUV;100;13;173;9,2;18,4;-
Renault;Clio;1.6 E-Tech Full Hybrid 145 CV;Citycar;145;9,3;174;6,2;14,7;-
Renault;Clio;1.0 TCe GPL 100 CV;Citycar;100;11,8;180;8,4;17,2;-
Renault;Clio;1.0 SCe 65 CV;Citycar;65;17,1;160;13;22,5;-
